OBJECTID,FULL_,GEOID,LABEL,STAETFP,COUNTY,COUNTYFP,County_Pos_Cases,County_Population,County_Rate_Per_100_000,County_Pos_Cases_Yesterday,County_Pos_Cases_Change,County_Deaths,County_Deaths_Yesterday,County_Deaths_Change,State_Pos_Cases,State_Population,State_Rate_Per_100000,State_Deaths,State_CDC_Deaths,State_Number_Hospitalizations,State_Number_Tested,State_Test_Encounters,State_Number_of_Counties_Pos,State_Number_of_Outbreaks,Data_Source,Date_Data_Last_Updated,Shape__Area,Shape__Length
1,Saguache County,08109,Saguache,08,SAGUACHE,109,1084,6414,16900.53,1067,17,12,12,0,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",0.84314903059385,4.39184364534676
2,Sedgwick County,08115,Sedgwick,08,SEDGWICK,115,452,2409,18762.97,452,0,8,8,0,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",0.152011070952994,1.7075458304623
3,Cheyenne County,08017,Cheyenne,08,CHEYENNE,017,307,1743,17613.31,303,4,9,9,0,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",0.478627830943196,3.11127071445578
4,Custer County,08027,Custer,08,CUSTER,027,599,4713,12709.53,600,-1,18,18,0,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",0.196859248573446,2.36450252969445
5,La Plata County,08067,La Plata,08,LA PLATA,067,11982,55649,21531.38,11940,42,76,75,1,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",0.447277846552652,3.02281991599124
6,San Juan County,08111,San Juan,08,SAN JUAN,111,194,714,27170.87,194,0,,,,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",0.102833675325428,1.71664098503411
7,Pitkin County,08097,Pitkin,08,PITKIN,097,6032,17363,34740.54,6019,13,6,6,0,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",0.262895469540581,2.99758337931077
8,Park County,08093,Park,08,PARK,093,2682,17427,15389.91,2676,6,19,19,0,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",0.596376486070085,3.79219717353281
9,Alamosa County,08003,Alamosa,08,ALAMOSA,003,4240,16329,25966.07,4220,20,58,58,0,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",0.19106400063788,1.83562564586585
10,Prowers County,08099,Prowers,08,PROWERS,099,2479,12015,20632.54,2473,6,45,45,0,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",0.436578121041293,2.65950781753648
11,Moffat County,08081,Moffat,08,MOFFAT,081,2818,13288,21207.1,2808,10,51,51,0,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",1.30950090392707,5.03264724477475
12,Jefferson County,08059,Jefferson,08,JEFFERSON,059,115065,582780,19744.16,114877,188,1258,1251,7,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",0.210187679847877,2.86344185299336
13,Summit County,08117,Summit,08,SUMMIT,117,9390,31017,30273.72,9379,11,12,12,0,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",0.168272135535972,2.59953699733242
14,Pueblo County,08101,Pueblo,08,PUEBLO,101,42761,168429,25388.15,42672,89,748,746,2,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",0.638492791357976,3.43119645764387
15,Boulder County,08013,Boulder,08,BOULDER,013,58949,330859,17816.96,58785,164,324,324,0,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",0.202534731038213,2.38337519766668
16,Denver County,08031,Denver,08,DENVER,031,161196,717627,22462.37,160912,284,1222,1221,1,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",0.0421858562244779,2.74534829005677
17,Montrose County,08085,Montrose,08,MONTROSE,085,8736,42815,20404.06,8693,43,156,156,0,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",0.599092173290956,4.59010271530844
18,Eagle County,08037,Eagle,08,EAGLE,037,15324,55624,27549.26,15289,35,34,34,0,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",0.459671486366005,3.15805055528872
19,San Miguel County,08113,San Miguel,08,SAN MIGUEL,113,2142,8063,26565.79,2142,0,7,7,0,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",0.34238906379619,3.44955895760724
20,Costilla County,08023,Costilla,08,COSTILLA,023,629,3486,18043.6,623,6,14,14,0,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",0.323925261744535,2.63276788664489
